web_scraper_order,Address_raw,Rooms,Area,Rent
1763742793-844,"Baurstrasse 29, 8008 Zürich",1.0,23.0,990.0
1763742793-846,"Imbisbühlstrasse 120, 8049 Zürich",2.5,74.0,1850.0
1763742793-847,"Mühlebachstrasse 121, 8008 Zürich",3.5,94.0,5490.0
1763742793-849,"Josefstrasse 23, 8005 Zürich",3.5,101.0,4075.0
1763742793-850,"Josefstrasse 23, 8005 Zürich",3.5,101.0,4095.0
1763742793-851,"Spiserstrasse 4, 8047 Zürich",2.5,63.0,3060.0
1763742793-854,"Ottikerstrasse, 8006 Zürich",2.5,87.0,3510.0
1763742793-855,"Forsterstrasse, 8044 Zürich",2.0,47.0,2600.0
1763742793-856,"Akazienstr. 2, 8008 Zürich",2.5,72.0,3225.0
1763742793-857,"Seefeldstr. 96, 8008 Zürich",3.5,88.0,3536.0
1763742793-858,"Wilfriedstrasse 7, 8032 Zürich",2.5,100.0,2900.0
1763742797-879,"Ferdinand Hodler-Strasse 24, 8049 Zürich",4.5,79.0,2440.0
1763742797-880,"Wehrlisteig 21, 8049 Zürich",4.5,153.0,4900.0
1763742797-882,"Pfirsichstrasse 7, 8006 Zürich",3.0,68.0,3150.0
1763742797-883,"Eggbühlstrasse 1, 8050 Zürich",2.5,72.0,3045.0
1763742797-884,"Universitätstrasse 33, 8006 Zürich",4.5,121.0,5230.0
1763742797-885,"Furttalstrasse 3, 8046 Zürich",2.5,76.0,2630.0
1763742797-886,"Furttalstrasse 3, 8046 Zürich",3.5,87.0,3515.0
1763742797-887,"Furttalstrasse 3, 8046 Zürich",2.5,78.0,3175.0
1763742797-888,"Furttalstrasse 3, 8046 Zürich",3.5,83.0,3020.0
1763742797-892,"Haumesserstrasse 17, 8038 Zürich",7.0,230.0,6900.0
1763742797-893,"Kilchbergstrasse 125, 8038 Zürich",2.5,64.0,2899.0
1763742797-894,"Wehntalerstrasse 296, 8046 Zürich",3.0,70.0,2100.0
1763742797-898,"Klosbachstrasse 10, 8032 Zürich",1.5,40.0,1650.0
1763742800-919,"Baslerstrasse 75, 8048 Zürich",3.0,88.0,3244.0
1763742800-920,"Tuchmacherstrasse 34, 8041 Zürich",2.5,75.0,2410.0
1763742800-921,"Gotthelfstrasse 48, 8003 Zürich",3.0,64.0,2990.0
1763742800-922,"Freilagerstrasse 5, 8047 Zürich",2.5,63.0,2690.0
1763742800-923,"Welchogasse 5, 8050 Zürich",2.5,72.0,2320.0
1763742800-924,"Feldstrasse 62, 8004 Zürich",3.5,67.0,3980.0
1763742800-925,"Feldstrasse 62, 8004 Zürich",3.0,75.0,4180.0
1763742800-926,"Gotthelfstrasse, 8003 Zürich",1.0,50.0,3145.0
1763742800-927,"Renggerstrasse 3, 8038 Zürich",3.5,112.0,6370.0
1763742800-928,"Renggerstrasse 3, 8038 Zürich",2.5,68.0,4530.0
1763742800-929,"Rolandstrasse 27, 8004 Zürich",2.5,46.0,2460.0
1763742800-930,"Toblerstrasse 76, 8044 Zürich",5.0,157.0,6150.0
1763742800-931,"Holderbachweg 61, 8046 Zürich",2.5,52.0,2520.0
1763742800-932,"Seestrasse 25, 8002 Zürich",2.5,67.0,3720.0
1763742800-933,"Eichhalde 23, 8053 Zürich",3.5,105.0,3930.0
1763742800-934,"Winterthurerstrasse 86, 8006 Zürich",5.0,126.0,3795.0
1763742800-935,"Rössligasse 9, 8001 Zürich",3.5,80.0,3250.0
1763742803-960,"Spiserstrasse 4, 8047 Zürich",3.5,108.0,4365.0
1763742803-962,"Auf Anfrage 1, 8004 Zürich",2.0,24.0,2350.0
1763742803-963,"Benedikt - Fontana - Weg 6, 8049 Zürich",1.5,50.0,1750.0
1763742803-964,"Susenbergstr. 144, 8044 Zürich",3.5,88.0,3225.0
1763742803-965,"Butzenstrasse 130, 8041 Zürich",3.5,100.0,3523.0
1763742803-966,"Genossenschaftsstrasse 16, 8050 Zürich",6.5,151.0,2913.0
1763742803-967,"Im Heuried, 8055 Zürich",2.0,48.0,2150.0
1763742803-968,"Käshaldenstrasse 11, 8052 Seebach",1.5,45.0,1850.0
1763742803-969,"Herrligstrasse 7, 8048 Zürich",4.5,98.0,4210.0
1763742803-970,"Spiserstrasse 4, 8047 Zürich",2.0,50.0,2565.0
1763742803-971,"Im Tiergarten 37, 8055 Zürich",2.5,71.0,2690.0
1763742803-973,"Leutschenbachstrasse 40, 8050 Zürich",4.5,114.0,4350.0
1763742803-974,"Im Tiergarten 25, 8055 Zürich",2.5,83.0,2350.0
1763742803-975,"Nordstrasse 356, 8037 Zürich",2.0,46.0,2450.0
1763742803-976,"Nordstrasse 356, 8037 Zürich",3.0,62.0,3050.0
1763742803-977,"Gertrudstr. 35, 8003 Zürich",4.0,74.0,3300.0
1763742803-978,"Zelgstr. 6, 8003 Zürich",3.0,68.0,3095.0
1763742806-999,"Riedhofstrasse 260, 8049 Zürich",2.0,55.0,1898.0
1763742806-1000,"Berghaldenstr. 62, 8053 Zürich",3.5,90.0,2390.0
1763742806-1001,"Turbinenstrasse 50, 8005 Zürich",2.5,71.0,2850.0
1763742806-1002,"Moosstrasse, 8038 Zürich",1.5,32.0,1830.0
1763742806-1003,"Küngenmatt 11, 8055 Zürich",2.0,54.0,1990.0
1763742806-1004,"Wehntalerstrasse 571, 8046 Zürich",3.5,92.0,3150.0
1763742806-1006,8046 Zürich,4.5,135.0,4630.0
1763742806-1007,8046 Zürich,3.5,112.0,2710.0
1763742806-1008,"Rennweg 18, 8001 Zürich",3.5,78.0,4460.0
1763742806-1009,"Flurstrasse 15, 8048 Zürich",1.5,44.0,1700.0
1763742806-1010,"Friedackerstrasse 7, 8050 Zürich",1.0,19.0,1590.0
1763742806-1011,"Eidmattstrasse, 8032 Zürich",4.0,97.0,4436.0
1763742806-1012,"Technoparkstrasse 8, 8005 Zürich",1.5,130.0,3800.0
1763742806-1014,"Limmattalstrasse 275, 8049 Zürich",3.5,,4400.0
1763742806-1015,"Spiserstrasse 10, 8047 Zürich",3.5,96.0,3490.0
1763742806-1016,"Widmerstrasse 73d, 8038 Zürich",2.5,58.0,2424.0
1763742809-1039,"Wiesliacher 89, 8053 Zürich",4.5,112.0,2464.0
1763742809-1040,"Buchzelgstrasse 50, 8053 Zürich",3.5,95.0,3990.0
1763742809-1043,"Bederstr. 101, 8002 Zürich",2.5,51.0,2360.0
1763742809-1044,"Josefstr. 129, 8005 Zürich",3.0,66.0,3280.0
1763742809-1045,"Sumatrastrasse 1, 8006 Zürich",2.0,59.0,2590.0
1763742809-1046,"Langstrasse 133, 8004 Zürich",2.0,57.0,2150.0
1763742809-1047,"Manessestrasse 6, 8003 Zürich",3.0,83.0,2990.0
1763742809-1048,"Hohlstrasse 365, 8004 Zürich",3.5,90.0,3440.0
1763742809-1049,"Freilagerstrasse 11, 8047 Zürich",2.5,48.0,2450.0
1763742809-1050,8045 Zürich,2.5,84.0,3300.0
1763742809-1051,"Hofwiesenstrasse 207, 8057 Zürich",1.5,45.0,2140.0
1763742809-1052,"Moussonstrasse 2, 8044 Zürich",6.5,184.0,8151.0
1763742809-1053,"Engweg 7, 8006 Zürich",4.5,136.0,6700.0
1763742809-1054,"Köschenrüti 57, 8052 Zürich",4.0,66.0,1982.0
1763742809-1055,"Stoffelstrasse 8, 8052 Zürich",2.5,52.0,2780.0
1763742809-1056,"Etzelstrasse 20, 8038 Zürich",4.5,120.0,5150.0
1763742809-1057,"Dufourstrasse 61, 8008 Zürich",3.5,102.0,5000.0
1763742809-1058,"Schaffhauserstrasse 556, 8052 Zürich",3.5,,2318.0
1763742812-1079,"Wartauweg 19, 8049 Zürich",3.5,85.0,4190.0
1763742812-1080,"Wartauweg 19, 8049 Zürich",3.5,87.0,3690.0
1763742812-1081,"Im Tiergarten 19, 8055 Zürich",3.0,83.0,2075.0
1763742812-1082,"Brauerstrasse, 8004 Zürich",1.0,12.0,1600.0
1763742812-1083,"Götzstrasse 16, 8006 Zürich",3.5,83.0,3550.0
1763742812-1084,"Hellmutstr 6c, 8004 Zürich",3.5,90.0,2800.0
1763742812-1085,"Renggerstrasse 3, 8038 Zürich",3.5,93.0,4660.0
1763742812-1086,"Frankengasse 25, 8001 Zürich",5.5,108.0,5685.0
1763742812-1092,"Baurstrasse 29, 8008 Zürich",1.0,25.0,3490.0
1763742812-1094,"Bachmattstrasse 4, 8048 Zürich",3.0,,2006.0
1763742812-1096,"Horneggstrasse 4, 8008 Zürich",3.5,92.0,3890.0
1763742812-1097,"Freilagerstrasse 11, 8047 Zürich",3.5,96.0,3490.0
1763742812-1098,"Felsberg 2, 8052 Zürich",3.5,70.0,2290.0
1763742815-1119,"Flüelastr. 13, 8048 Zürich",4.5,100.0,2510.0
1763742815-1120,"Witikonerstrasse 241, 8053 Zürich",2.0,44.0,2050.0
1763742815-1121,"Geranienstrasse 12, 8008 Zürich",3.5,70.0,6790.0
1763742815-1123,"Geranienstrasse 14, 8008 Zürich",3.5,70.0,7490.0
1763742815-1125,"Turbinenstrasse 24, 8005 Zürich",3.5,107.0,4100.0
1763742815-1126,"Gustav-Gull-Platz 4, 8004 Zürich",3.5,,7990.0
1763742815-1128,"Röschibachstrasse 22, 8037 Zürich",4.5,120.0,6790.0
1763742815-1129,"Röschibachstrasse 22, 8037 Zürich",4.5,120.0,6790.0
1763742815-1131,"Richard Wagner-Strasse 16, 8002 Zürich",6.5,152.0,6480.0
1763742815-1132,"Greifenseestrasse 38, 8050 Zürich",3.5,94.0,4590.0
1763742815-1134,"Auhofstrasse 5, 8051 Zürich",3.0,92.0,2520.0
1763742815-1135,"Hohlstrasse 30, 8004 Zürich",1.5,44.0,1850.0
1763742815-1136,"Feusisbergli 14, 8048 Zürich",4.5,110.0,4800.0
1763742815-1137,"Witikonerstrasse 489, 8053 Zürich",3.5,68.0,2075.0
1763742815-1138,"Dahliastrasse 9, 8008 Zürich",3.5,76.0,5490.0
1763742818-1159,8050 Zürich,4.5,,
1763742818-1160,8050 Zürich,3.5,,
1763742818-1164,8048 Zürich,3.5,,3067.0
1763742818-1165,"Bellariastrasse 36, 8002 Zürich",2.5,63.0,2993.0
1763742818-1166,"Bremgartnerstrasse 35, 8003 Zürich",2.0,,2390.0
1763742818-1167,"Sempacherstrasse 75, 8032 Zürich",4.0,90.0,3300.0
1763742818-1168,"Steinhaldenstr. 54, 8002 Zürich",2.5,64.0,3100.0
1763742818-1170,"Marienstrasse 20, 8003 Zürich",2.0,45.0,2086.0
1763742818-1171,"Spiserstrasse 6, 8047 Zürich",2.5,61.0,2960.0
1763742818-1172,"Gustav-Gull-Platz 11, 8004 Zürich",4.5,,5100.0
1763742818-1173,"Europaallee 35, 8004 Zürich",3.5,,5355.0
1763742818-1174,"Robert-Stephenson-Weg 55, 8004 Zürich",5.0,141.0,5917.0
1763742818-1175,"Lindenstrasse 41, 8008 Zürich",4.0,101.0,4690.0
1763742818-1176,"Brunnenhofstrasse 7, 8057 Zürich",1.5,32.0,1340.0
1763742818-1177,"Schaffhauserstrasse 85, 8057 Zürich",4.0,94.0,3498.0
1763742818-1178,"Schaffhauserstrasse 615, 8052 Zürich",3.5,87.0,2610.0
1763742821-1199,"Stampfenbrunnenstrasse 43, 8048 Zürich",4.5,,3230.0
1763742821-1200,"Imbisbühlstrasse 162, 8049 Zürich",3.0,50.0,1388.0
1763742821-1201,8032 Zürich,3.0,71.0,3800.0
1763742821-1202,"Eichrainstrasse, 8052 Seebach",2.5,95.0,3800.0
1763742821-1204,"Michael-Maggi-Strasse 22, 8046 Zürich",3.5,117.0,3500.0
1763742821-1205,"Köschenrütistrasse 20, 8052 Zürich",7.5,174.0,5160.0
1763742821-1206,8000 Zürich,2.5,90.0,2500.0
1763742821-1207,"Lessingstrasse 45, 8002 Zürich",2.5,55.0,2000.0
1763742821-1208,"Austrasse 56, 8045 Zürich",2.5,58.0,3085.0
1763742821-1209,"Eidmattstrasse 38, 8032 Zürich",2.5,70.0,5900.0
1763742821-1211,"Seefeldstrasse 45, 8008 Zürich",2.0,60.0,6290.0
1763742821-1212,"Baurstrasse 29, 8008 Zürich",2.0,60.0,6790.0
1763742821-1214,"Hagenholzstr. 86, 8050 Zürich",3.5,102.0,2734.0
1763742821-1215,"Universitätstrasse 41, 8006 Zürich",4.5,120.0,8990.0
1763742821-1216,"Engweg 8, 8006 Zürich",4.5,140.0,9290.0
1763742821-1217,"Helenastrasse 11, 8008 Zürich",3.0,78.0,5190.0
1763742821-1218,"Spindelstrasse 16, 8041 Zürich",4.5,120.0,7590.0
1763742825-1239,"Schaffhauserstrasse 167, 8057 Zürich",2.0,53.0,2810.0
1763742825-1240,"Witikonerstrasse 482, 8053 Zürich",3.5,102.0,3790.0
1763742825-1241,"Bergellerstrasse 32, 8049 Zürich",3.5,69.0,2840.0
1763742825-1242,8008 Zürich,4.5,108.0,3490.0
1763742825-1243,"Altstetterstrasse 176, 8048 Zürich",1.0,36.0,1850.0
1763742825-1245,"Schwandenwiesen 27, 8052 Zürich",4.0,66.0,1982.0
1763742825-1246,"Letzistrasse 11, 8006 Zürich",6.0,112.0,4720.0
1763742825-1247,"Buchzelgstrasse 62, 8053 Zürich",3.0,75.0,2180.0
1763742825-1248,"Wehntalerstrasse, 8046 Zürich",2.0,54.0,2450.0
1763742825-1249,"Zinnengasse 2/4, 8001 Zürich",2.5,,3359.0
1763742825-1250,"Witikonerstr. 15, 8032 Zürich",2.5,64.0,3392.0
1763742825-1251,"Wehrenbachhalde 47, 8053 Zürich",6.5,160.0,4300.0
1763742825-1252,"Reinhold-Frei-Strasse 21, 8049 Zürich",2.5,52.0,2170.0
1763742825-1253,"Breitenlooweg 10, 8047 Zürich",2.5,55.0,2296.0
1763742825-1255,"Zeughausstrasse 3, 8004 Zürich",2.5,,2970.0
1763742825-1256,"Soodstrasse 90, 8041 Zürich",3.5,82.0,2746.0
1763742825-1257,"Soodstrasse 90, 8041 Zürich",3.5,82.0,2677.0
1763742825-1258,"Soodstrasse 90, 8041 Zürich",1.5,59.0,2256.0
1763742828-1279,8004 Zürich,4.0,,4364.0
1763742828-1280,"Herrligstrasse 36, 8048 Zürich",3.0,57.0,2350.0
1763742828-1281,"Mühlebachstrasse 204, 8008 Zürich",5.0,125.0,2200.0
1763742828-1282,"Klausstrasse 49, 8008 Zürich",2.5,70.0,3180.0
1763742828-1283,8032 Zürich,4.5,,5825.0
1763742828-1284,"Wengistrasse 31, 8004 Zürich",1.5,83.0,2890.0
1763742828-1285,"Hardturmstr. 5, 8005 Zürich",5.5,251.0,11370.0
1763742828-1286,"Albisstrasse 170, 8038 Zürich",3.0,67.0,2450.0
1763742828-1287,8049 Zürich,3.5,69.0,2600.0
1763742828-1288,"Saumackerstrasse 2, 8048 Zürich",4.0,,2750.0
1763742828-1289,"Holderbachweg 8, 8046 Zürich",4.5,103.0,3050.0
1763742828-1290,"Birmensdorferstrasse 485, 8055 Zürich",1.0,71.0,3510.0
1763742828-1291,"Birmensdorferstrasse 485, 8055 Zürich",1.0,60.0,2940.0
1763742828-1292,"Birmensdorferstrasse 485, 8055 Zürich",1.0,60.0,2670.0
1763742828-1293,"Birmensdorferstrasse 485, 8055 Zürich",1.0,71.0,3160.0
1763742828-1294,"Birmensdorferstrasse 483, 8055 Zürich",2.0,67.0,2670.0
1763742828-1295,"Weidmannstrasse 15, 8046 Zürich",4.5,115.0,3900.0
1763742828-1296,"Rüdigerstrasse 4, 8045 Zürich",3.5,100.0,4080.0
1763742828-1297,"Flurstrasse 53, 8048 Zürich",2.5,45.0,1484.0
1763742828-1298,"Flurstrasse 53, 8048 Zürich",2.5,55.0,1600.0
1763742831-1319,"Müllerstrasse 93, 8004 Zürich",3.0,64.0,2625.0
1763742831-1320,"Baumackerstrasse 9, 8050 Oerlikon",3.5,83.0,3510.0
1763742831-1321,"Schaffhauserstrasse 273, 8057 Zürich",1.5,28.0,1600.0
1763742831-1323,"Leutschenbachstrasse 46, 8050 Zürich",2.5,59.0,2490.0
1763742831-1324,"Hegianwandweg 102, 8045 Zürich",3.5,81.0,3670.0
1763742831-1325,"Hegianwandweg 102, 8045 Zürich",2.5,63.0,2845.0
1763742831-1326,"Hegianwandweg 102, 8045 Zürich",4.5,102.0,4670.0
1763742831-1327,"Burstwiesenstrasse 19, 8055 Zürich",2.5,59.0,2230.0
1763742831-1328,"Dübendorfstrasse 311, 8051 Zürich",4.5,119.0,3520.0
1763742831-1329,"Hildastrasse 7, 8004 Zürich",1.0,,1390.0
1763742831-1330,"Leutschenbachstrasse 42N, 8050 Zürich",4.5,138.0,4750.0
1763742831-1332,"Dübendorfstrasse 311, 8051 Zürich",4.5,103.0,3320.0
1763742831-1333,"Kirchenfeld 59, 8052 Zürich",2.5,58.0,2400.0
1763742831-1334,"Dübendorfstrasse 311, 8051 Zürich",4.5,124.0,5200.0
1763742831-1335,"Dübendorfstrasse 311, 8051 Zürich",2.5,51.0,2260.0
1763742831-1336,"Bergellerstrasse 32, 8049 Zürich",2.5,62.0,2440.0
1763742831-1337,"Dübendorfstrasse 311, 8051 Zürich",3.5,84.0,2850.0
1763742831-1338,"Florastrasse 55, 8008 Zürich",3.5,75.0,2850.0
1763742834-1359,"Bauherrenstrasse 32, 8049 Zürich",3.0,89.0,3000.0
1763742834-1362,"Spiserstrasse 12, 8047 Zürich",4.5,108.0,4150.0
1763742834-1363,"Uetlibergstrasse 78, 8045 Zürich",1.5,29.0,2090.0
1763742834-1364,"Bühlwiesenstrasse 1, 8052 Seebach",3.0,68.0,1980.0
1763742834-1365,"Birmensdorferstrasse 481, 8055 Zürich",2.5,66.0,2730.0
1763742834-1366,"Albisriederstr. 170, 8003 Zürich",2.5,55.0,2225.0
1763742834-1367,"Widmerstrasse 73b, 8038 Zürich",2.5,74.0,3165.0
1763742834-1368,"Letzistrasse 13A, 8006 Zürich",2.5,54.0,2505.0
1763742834-1369,"Bienenstrasse 5, 8004 Zürich",3.5,73.0,2950.0
1763742834-1370,"Ferdinand Hodler-Str. 26, 8049 Zürich",4.5,79.0,2405.0
1763742834-1371,"Hürstringstrasse 23, 8046 Zürich",4.5,100.0,4400.0
1763742834-1373,"Limmattalstrasse 404/406, 8049 Zürich",2.5,57.0,2165.0
1763742834-1374,"Limmattalstrasse 404/406, 8049 Zürich",3.5,98.0,3265.0
1763742834-1375,"Limmattalstrasse 404/406, 8049 Zürich",4.5,112.0,3795.0
1763742834-1376,"Jungstrasse 8, 8050 Zürich",4.0,102.0,3500.0
1763742834-1377,"Zürichbergstrasse 46, 8044 Zürich",1.0,29.0,1575.0
1763742834-1378,"Schoffelgasse 7, 8001 Zürich",2.5,,2893.0
1763742838-1399,"Wehntalerstr. 521, 8046 Zürich",2.0,55.0,1400.0
1763742838-1400,"Freudenbergstrasse 15, 8044 Zürich",3.5,169.0,6700.0
1763742838-1401,"Käferholzstr. 60, 8057 Zürich",4.5,118.0,4140.0
1763742838-1402,8032 Zürich,3.5,,4450.0
1763742838-1403,"Herrligstrasse 7, 8048 Zürich",1.5,36.0,1970.0
1763742838-1404,"Luegislandstrasse 350, 8051 Zürich",3.5,92.0,3790.0
1763742838-1406,"Schaffhauserstrasse 282, 8057 Zürich",1.5,40.0,2150.0
1763742838-1407,"Langensteinenstrasse 4, 8057 Zürich",2.0,47.0,2180.0
1763742838-1408,"Wartauweg 19, 8049 Zürich",1.5,28.0,1940.0
1763742838-1409,"Mattengasse 16, 8005 Zürich",3.0,,
1763742838-1410,"Bergstrasse 5, 8044 Zürich",5.5,190.0,5870.0
1763742838-1411,"Kreuzstrasse 78, 8032 Zürich",4.5,90.0,4870.0
